繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
________________________不得見人的去處好容易今日回家娘_兒們__這時不_說_不笑反倒哭__個不了一會子我去了又不知多早晚編能一見說到道句不禁又哽 ||| Chốn khuất nẻo khó gặp, nay may mắn được về nhà, mẹ con lẽ ra phải vui cười, cớ sao lại khóc lóc không thôi? Ta đi rồi, biết đến bao giờ mới có ngày gặp lại, nghĩ đến đây, lòng ta lại nghẹn ngào.
咽起來邢夫人_忙上來_都解賈母等讓賈妃歸坐又逐次一一見调又不免哭泣一番然後東西兩府執事人等在外聘行禮其樬婦了賴 ||| Khi ấy, Hình phu nhân vội vàng tiến lên, cùng với Giả mẫu đỡ Giả phi ngồi xuống. Sau đó, mọi người lần lượt đến chào hỏi, không tránh khỏi những giọt nước mắt nghẹn ngào. Rồi các quản sự hai phủ Đông Tây cũng đến hành lễ, mọi việc đều được chu toàn.
行禮里賈纪歎道許多親春可惜都不能見面王夫人啓道現有外親薛王氏及寳釵黛玉在外候旨外眷無職不敢擅入賈妃卽合請來 ||| Lúc này, Giả Kính than thở rằng thật đáng tiếc khi nhiều người thân thích không thể gặp mặt. Vương phu nhân bẩm rằng hiện có bà con bên ngoại là Tiết Vương thị cùng Bảo Thoa và Đại Ngọc đang chờ chỉ ở ngoài, vì là thân quyến không có chức tước nên không dám tự tiện vào. Giả phi liền phán cho mời vào.
相見一時薛姨媽等進來欲行國禮__元妃降旨免過上前各敍_新別__又有__原帶進宫_的__丁媛抱琴等__叩見贸母_連忙扶起命入別室款待執 ||| Khi ấy, Tiết di nương cùng các mệnh phụ vào hành lễ quốc gia, Nguyên phi ban chỉ miễn lễ, mọi người liền tiến lên vấn an, hàn huyên đôi lời. Lại có các cung nga như Đinh Viện ôm đàn cùng các thị nữ khác vào khấu kiến, Tiết di nương vội vàng đỡ dậy, sai vào phòng khác khoản đãi.
_事太監及彩孀昭容各待從人等__甯府及贸赦那宅兩處自有人款待只留三四個小太監答應母女姊妹不免敍些久別的情景及家務 ||| Việc các thái giám và người hầu hạ của các phi tần, các phủ Ninh, phủ Vinh đều có người lo liệu chu đáo, chỉ để lại ba bốn tiểu thái giám để đáp ứng nhu cầu của các bà mẹ, bà chị em, không tránh khỏi việc hàn huyên tâm sự sau những ngày xa cách và bàn bạc việc nhà.
私情又有費政至_簾外問安____行麽等事元妃又_____向其父_說道田舍之家__罄鹽布帛___得遂天倫之樂今雖富貴__骨肉___分離終無意趣賈政亦含 ||| Chuyện riêng tư lại thêm việc tốn kém, đến nỗi phải hỏi han ngoài rèm. Những việc như đi lại, chờ đợi, Nguyên phi lại nói với cha rằng: "Nhà quê nghèo khó, hết muối lại đến vải vóc, mới được hưởng niềm vui gia đình. Nay tuy giàu sang, nhưng cốt nhục chia lìa, cuối cùng cũng chẳng có ý nghĩa gì." Giả Chính nghe vậy cũng ngậm ngùi.
____淚啓道臣草_界寒門鳩_羣鴉屬之中豈意得_微鳳驚之瑞今貴人上錫天恩下昭祖德此皆山川日月之精_華祖宗之遠德鍾_於一人幸及___ ||| Ôi lệ sầu tuôn rơi, thần xin tâu rằng, phận cỏn con nơi hàn môn, ví như chim sẻ giữa bầy quạ, nào ngờ nay được ví như phượng hoàng, kinh động cả đất trời. Nay quý nhân được ban ân trên, tổ tông được rạng danh dưới, ấy đều là tinh hoa của núi sông, nhật nguyệt, phúc đức tổ tông dồn cả vào một người, thật là may mắn thay!
管生之福也貴妃切勿以政夫婦殘年爲念____更祈自加珍愛惟勤愼肅恭以侍上庶不負上眷顧隆恩也賈妃亦囑以國事宜勤暇時保養 ||| Thật là phúc phận lớn lao của người được sinh ra, mong Quý phi nương nương chớ vì chuyện tuổi già của vợ chồng thần mà bận lòng. Xin nương nương hãy tự giữ gìn, cẩn trọng, cung kính hầu hạ bậc trên, để không phụ tấm thịnh ân mà Hoàng thượng đã ban. Giả phi cũng dặn dò rằng việc nước nên siêng năng, lúc rảnh rỗi thì nên giữ gìn sức khỏe.
切勿記念覽政又啓_酒中所有亭_臺軒館皆係寶玉所題如果有一二_可寓目者請_卽賜名爲幸元妃_聽了寶玉能題便含笑說道果進益_____ ||| Chớ nên bận tâm đến việc chính sự, lại nói, các lầu các quán trong vườn đều do Bảo Ngọc đề chữ, nếu có chỗ nào đáng xem, xin ban cho một cái tên thì thật là may mắn. Nguyên phi nghe Bảo Ngọc có tài đề chữ, liền mỉm cười nói: Quả thật là có tiến bộ.
了贸政银出元妃因間寳玉_因何不_見買母乃啓道無_職外男不敢擅入元妃命_引進來小太監引寶玉進來先行國禮畢命他近前指手 ||| Nguyên phi nương nương vì cớ gì lại không cho Bảo Ngọc vào yết kiến? Tiểu thái giám vội tâu: 'Bẩm nương nương, ngoại thần không dám tự tiện vào cung, xin nương nương cho phép dẫn vào'. Nguyên phi liền truyền cho tiểu thái giám dẫn Bảo Ngọc vào, hành lễ xong, nương nương bảo Bảo Ngọc tiến lại gần.
同諸人步至園門前早見燈光之中諸般羅列進園先從有鳳來儀紅香綠玉杏帘在望蘅芷淸芬等處登樓步閣涉水緣山以覽棋徊一 ||| Cùng mọi người bước đến trước cửa vườn, đã thấy ánh đèn sáng rực, bày biện đủ thứ. Vào vườn, trước hết đến nơi có Phượng Lai Nghi, Hồng Hương Lục Ngọc, rèm hạnh trông thấy, hương thơm của cây hằng chi thoang thoảng. Rồi lên lầu gác, qua sông, men núi, ngắm cảnh một lượt.
又改題有鳳來佳賜名满湘館紅香綠玉改作怡紅快綫賜名怡紅院蘅芷清芬賜名蘅蕪院杏帘在望賜名澣葛山莊正樓曰大觀樓康 ||| Lại đổi tên các nơi, gác có phượng đến ban tên là Mãn Tương quán, Hồng Hương Lục Ngọc đổi thành Di Hồng khoái tuyến, ban tên là Di Hồng viện, Hằng Chỉ Thanh Phân ban tên là Hằng Vu viện, Hạnh Liêm Tại Vọng ban tên là Hoán Cát sơn trang, chính lâu gọi là Đại Quan lâu.
面飛樓白綴錦閣西面飛樓日含芳閣更有蓼風軒藕香榭紫菱洲荇葉渚等名匾額有梨花春雨桐翦秋風荻蔵夜雪等名又命舊有园 ||| Trước mặt lầu gác, những mái hiên chạm trổ trắng như tuyết, những lầu các thêu hoa rực rỡ, phía tây có lầu Phi Phương, lầu Nhật Hàm, lại có Liêu Phong Hiên, Ổ Hương Tạ, Tử Lăng Châu, Hạnh Diệp Chử, những biển ngạch đề tên, lại có những tên như Lê Hoa Xuân Vũ, Đồng Tiễn Thu Phong, Địch Tàng Dạ Tuyết, lại còn những vườn cũ.
_聯不可摘去於是先題一絶句云______________ ||| Lại nói, không thể không treo biển, bèn cho đề một câu đối rằng:
________啕山抱水建來精多少工夫_築始成天上人間諸景備芳園應錫大觀名 ||| Ngẫm xem, núi ôm, nước ghé, dựng xây nên cơ ngơi này, há chẳng tốn bao công sức? Nay mới thành một chốn vườn hoa, cảnh sắc trên trời dưới đất đều đủ cả, nên ban cho cái tên Đại Quan Viên vậy.
兒說的也不售興我爲這個還要特治一個東兒請你們去細談一談二則還有_奉懇之處說__看撒手就走薛蟠道越發說的人热剌刺的 ||| Lời con nói cũng chẳng có gì đáng để bận tâm, vì chuyện này mà phải đặc biệt mời người đến bàn bạc sao? Xin các vị cứ thong thả mà nói chuyện, còn có điều gì cần thỉnh giáo, xin cứ nói ra. Sao lại vừa mới nói đã vội vàng bỏ đi như vậy?" Tiết Bàn càng nói càng thêm nóng nảy.
㧍不下多早晚_縷請我們告訴了___省了人__打悶雷馮紫英道多則十日少則八天一面說一面出門上馬去了衆人回來依席又飮了一回 ||| Chẳng qua chỉ đôi ba ngày sớm tối, xin các vị cứ cho chúng tôi biết, để khỏi phải lo lắng. Phùng Tử Anh nói rồi liền lên ngựa ra về. Mọi người trở lại chỗ ngồi, lại tiếp tục uống rượu.
方散寶三回至園中襲人正惦記__他去見賈政不知是禍是福只見寶玉醉醺醺_回來因問其原故寶玉一一向他說了襲人道人家茶脚 ||| Khi Bảo Ngọc tan tiệc ở phủ về đến vườn, thì thấy Tập Nhân đang lo lắng, không biết việc y đi gặp Giả Chính là phúc hay họa. Chỉ thấy Bảo Ngọc say khướt trở về, hỏi rõ nguyên do, Bảo Ngọc kể lại hết. Tập Nhân nghe xong liền nói: “Người ta uống trà thừa…”
_______掛肚的等着你且高樂去也到底打發個人來給個信_兒寶玉道我向嘗不要送信_兒因馮世兄來了就混忘了正說者只見寶釵走進來__________________________________________________________ ||| Ngóng trông tin tức của con, lòng mẹ như lửa đốt, sao con còn mải vui chơi? Rốt cuộc cũng nên sai người về báo tin cho mẹ một tiếng.
繪圖紅樓夢卷一方第二十六回 ||| Quyển Hồng Lâu Mộng, hồi thứ hai mươi sáu, có vẽ tranh minh họa.
一三一 ||| Từ khi Bảo Ngọc bị thương, không còn đi đâu nữa, Đại Ngọc cũng chỉ ở nhà cùng các tỷ muội chuyện trò. Một ngày nọ, sau bữa cơm, nàng ngồi xem sách, cảm thấy buồn bã, bèn cùng Tử Quyên thêu thùa, nhưng vẫn không thấy khuây khỏa. Nàng ra cửa ngắm nghía, rồi thong thả dạo bước ra sân xem măng non mới nhú.
縮圖紅樓夢卷一第二十七回 ||| Bản vẽ thu nhỏ Hồng Lâu Mộng, quyển một, hồi thứ hai mươi bảy.
一三二 ||| Từ khi Bảo Ngọc bị thương, không còn đi đâu nữa, Đại Ngọc cũng chỉ ở nhà cùng các tỷ muội chuyện trò. Một ngày nọ, sau bữa cơm, nàng ngồi xem sách, cảm thấy buồn bã, bèn cùng Tử Quyên thêu thùa, nhưng vẫn không thấy vui hơn. Nàng ra cửa ngắm nhìn, rồi thong thả dạo bước ra sân xem măng non mới nhú.
___________________________________________________________笑道偏了我們新鮮東西了寶玉笑道姐姐家的東西自然先偏了我們了寶叙搖頭笑道昨_兒哥哥倒特特的請我吃我不吃我叫他留______ ||| Bảo Ngọc cười đáp, "Tỷ tỷ thật khéo nói, đồ nhà tỷ tỷ dĩ nhiên phải ưu tiên cho chúng ta trước rồi." Bảo Thoa lắc đầu cười, "Hôm qua ca ca còn đặc biệt mời muội ăn, muội không ăn, muội bảo ca ca giữ lại."
若送給別人罷我知道我的命小福薄不配吃那個說若__了嬛倒了茶來吃茶說_閑話_兒不在話下却說那黛玉聽見賈政叫了寶玉去了 ||| Nếu đem cho người khác thì thôi, tôi biết số mình phúc mỏng, không xứng ăn thứ đó. Nói rồi, nàng sai người rót trà mời khách, rồi chuyện trò đôi câu. Bỗng nghe nói Giả Chính gọi Bảo Ngọc đi.
隨後走了來剛到了沁芳橋只見各色水禽盡都在池中浴水也認不出名色來但見一個個文彩__熌灼好看_異常因而站住看了一_回再 ||| Kế đó, bước chân đến cầu Tẩm Phương, thấy đủ loại chim nước đang tắm mát trong ao, không nhận ra tên loài nào, chỉ thấy lông cánh rực rỡ, đẹp đẽ lạ thường, bèn dừng chân ngắm nghía một hồi.
_兒再來罷黛玉素知了頭們的_性情他們彼此頑耍慣了恐怕院内的_了頭沒__聽見是他的聲音只當_別的了頭們_了所以不開門因而又__________ ||| Lại nói, từ khi Bảo Ngọc bị thương, không còn đi đâu chơi nữa, Đại Ngọc cũng chỉ ở nhà cùng các tỷ muội chuyện trò. Một ngày nọ, sau bữa cơm, Đại Ngọc ngồi xem sách, trong lòng buồn bã, bèn cùng Tử Quyên thêu thùa, nhưng vẫn không thấy vui. Nàng ra cửa, ngắm nhìn những mầm non mới nhú, rồi thong thả bước ra sân.
高聲說道是我還不開門麽晴雯偏_偏還沒___聽見便使性子說道憑你是誰二爺吩咐的一槪不許放_進人來呢黛玉聽了信恬不覺氣怔 ||| Cao giọng nói: "Ta đây, còn không mở cửa sao?" Tình Văn cố ý làm như không nghe thấy, bèn giận dỗi đáp: "Dù là ai đi nữa, nhị gia đã dặn không cho ai vào cả!" Đại Ngọc nghe vậy, trong lòng không khỏi ngẩn ngơ.
__栖若是認眞__慪氣也覺沒趣一面想一面又滾下淚珠來_了真是回去不是站着不是正沒主意只聽裏面一陣笑話之聲細聽一聽竟是 ||| Nếu nghĩ kỹ thì cũng chẳng có gì đáng giận, càng nghĩ càng thấy buồn tủi, nước mắt lại tuôn rơi. Thật là muốn quay về nhưng lại không nỡ, đứng cũng không xong mà đi cũng không được, đang lúc rối bời thì nghe trong phòng vọng ra tiếng cười nói.
__花魂點_點無情緒鳥夢癡癡_何處_驚 ||| Những cánh hoa tàn lả tả rơi, hồn hoa như vô tình, chim mộng ngẩn ngơ, không biết nơi nào mà giật mình tỉnh giấc.
因又有一首詩道顰_兒才貌世應_稀獨抱幽芳出繡_聞嗚咽一聲猶未了落花滿地鳥_驚飛 ||| Than ôi, nét ngài khuynh quốc, tài hoa hiếm có trên đời, một mình ôm ấp hương thơm u nhã, vừa cất tiếng than thở, hoa rơi đầy đất, chim kinh hồn bay vút.
那_黛玉正自啼哭忽_聽吱嘍嘍一聲院門開處不知是那一個出來要知端的且看下回分解 ||| Khi ấy, Đại Ngọc đang sụt sùi khóc lóc, bỗng nghe tiếng cổng viện kẽo kẹt mở ra, không biết là ai bước tới. Muốn biết sự tình ra sao, xin xem hồi sau sẽ rõ.
第二十七回滴翠亭楊妃戲彩蝶埋香_塚飛燕泣殘紅 ||| Hồi thứ hai mươi bảy, tại lầu Tích Thúy, nàng Dương phi đùa bỡn cùng bướm hoa, chốn hương trủng, nàng Phi Yến khóc than trước sắc tàn.
話說_黛玉正自悲泣忽_聽院門響處只見寶敛出來了寶玉襲人一羣人都送_出來待要上去問着寶玉又恐當着衆人問羞了寶玉不便 ||| Lại nói, khi Đại Ngọc đang sụt sùi bi thương, chợt nghe ngoài cửa viện có tiếng động, thì thấy Bảo Ngọc cùng đám người Tập Nhân đi ra, tiễn đưa. Nàng muốn lên hỏi Bảo Ngọc, nhưng lại e ngại trước mặt mọi người, hỏi ra thì Bảo Ngọc lại khó xử.
